eps,dataset,expertType,model,f1,precision,recall,llmName
0.4,Criminal,human,Bayesian Network,0.887197169692725,0.8533913295836155,0.9237918215613383,None
0.5,Criminal,human,Bayesian Network,0.8981585715381218,0.8673027372095516,0.9312908982748364,None
0.6,Criminal,human,Bayesian Network,0.8988303563333031,0.8691519955109771,0.9306071871127634,None
0.7,Criminal,human,Bayesian Network,0.8976653059751428,0.8666751610376113,0.9309538984491184,None
0.8,Criminal,human,Bayesian Network,0.8981310241540809,0.8684386686339934,0.9299256505576208,None
0.9,Criminal,human,Bayesian Network,0.8969556937484296,0.8714901577454768,0.9289491077329808,None
0.1,Criminal,llm,Bayesian Network,0.9022370619987714,0.8759386722992557,0.9301634472511144,ChatGLM4Flash
0.2,Criminal,llm,Bayesian Network,0.8963158846578922,0.8771588777435676,0.9271375464684015,ChatGLM4Flash
0.3,Criminal,llm,Bayesian Network,0.8965103510957434,0.8820949862823004,0.925173439048563,ChatGLM4Flash
0.4,Criminal,llm,Bayesian Network,0.893137990594968,0.8702618938223132,0.9230483271375465,ChatGLM4Flash
0.5,Criminal,llm,Bayesian Network,0.9110697347450282,0.8949041103349689,0.9342653182629387,ChatGLM4Flash
0.6,Criminal,llm,Bayesian Network,0.8924812956674572,0.8724995961079799,0.9169764560099133,ChatGLM4Flash
0.7,Criminal,llm,Bayesian Network,0.8912095441318469,0.8706363081449161,0.9152326322498406,ChatGLM4Flash
0.8,Criminal,llm,Bayesian Network,0.8890837174197822,0.8712038931559951,0.9096654275092937,ChatGLM4Flash
0.9,Criminal,llm,Bayesian Network,0.8861835515192528,0.8703945408106111,0.9039986781229346,ChatGLM4Flash
0.1,Victim,human,Bayesian Network,0.8057321289171406,0.7522907122032486,0.8673469387755102,None
0.2,Victim,human,Bayesian Network,0.8185957578950674,0.7692701160731852,0.8746803069053708,None
0.3,Victim,human,Bayesian Network,0.8115237154026889,0.793299495347277,0.8703071672354948,None
0.4,Victim,human,Bayesian Network,0.8414770687639533,0.8141530709181777,0.8873239436619719,None
0.5,Victim,human,Bayesian Network,0.7951813761816112,0.7404820412697344,0.8586065573770492,None
