案发年份_code,案发月份_code,案发日期_code,案发日期敏感度_code,工作大类_code,工作小类_code,相关人性别_code,相关人年龄_code,相关人收入_code,相关人学历_code,相关人通信方式_code,金额损失_code,相关人恢复时间_code,是否报警_code,案发城市经济水平_code,相关人身份_code
2024,1,1,0,8,9,1.0,3.0,2.0,6,1,2,0,0,208,0
2022,4,1,3,8,9,1.0,3.0,2.0,2,6,1,0,0,200,0
2022,4,1,3,8,9,2.0,5.0,2.0,2,1,0,0,0,25,0
2023,5,1,0,24,9,1.0,0.0,1.0,2,6,3,0,0,94,0
2021,3,1,17,8,9,2.0,6.0,2.0,3,6,2,0,0,5,0
2024,1,1,0,8,9,1.0,5.0,1.0,1,6,1,0,0,36,0
2024,1,1,0,20,9,1.0,4.0,2.0,2,1,2,0,0,2,0
2023,11,1,31,24,9,1.0,2.0,2.0,3,1,1,0,0,45,0
2024,4,1,3,8,9,2.0,5.0,2.0,2,1,0,0,0,4,0
2024,3,1,20,12,9,1.0,3.0,1.0,2,6,3,0,0,13,0
2023,6,1,21,24,9,2.0,4.0,2.0,5,1,2,0,0,2,0
2023,5,1,0,12,9,1.0,4.0,2.0,2,6,3,0,0,36,0
2024,5,1,0,24,9,2.0,4.0,2.0,6,4,2,0,0,63,0
2024,5,1,0,8,9,1.0,3.0,2.0,2,6,0,0,0,2,0
2023,5,1,0,8,9,1.0,4.0,2.0,4,1,0,0,0,63,0
2023,5,1,0,24,9,1.0,4.0,1.0,1,6,2,0,0,145,0
2024,4,1,3,24,9,1.0,2.0,2.0,2,6,4,0,0,116,0
2024,5,1,0,8,9,1.0,4.0,2.0,2,1,3,0,0,5,0
2024,6,1,9,8,9,1.0,5.0,2.0,2,1,3,0,0,32,0
2023,3,1,34,17,9,1.0,4.0,2.0,6,6,4,0,0,43,0
2024,2,1,9,24,9,1.0,2.0,1.0,4,1,1,0,0,45,0
2024,2,1,9,24,9,1.0,2.0,2.0,2,1,3,0,0,5,0
2024,5,1,0,8,9,1.0,3.0,2.0,6,6,2,0,0,51,0
2020,1,1,0,8,9,1.0,3.0,2.0,9,5,1,0,0,187,0
2022,1,1,0,8,9,1.0,5.0,2.0,3,6,0,0,0,84,0
2024,5,1,0,24,9,2.0,6.0,2.0,3,6,2,1,0,25,0
2024,5,1,0,8,9,1.0,5.0,2.0,4,1,3,0,0,312,0
2024,1,1,0,20,9,1.0,4.0,1.0,2,1,3,0,0,2,0
2024,1,1,0,8,9,1.0,4.0,2.0,2,6,2,0,0,25,0
2023,8,1,40,8,9,1.0,2.0,2.0,2,1,2,0,0,94,0
2024,2,1,9,8,9,1.0,4.0,2.0,5,6,0,0,0,53,0
2023,11,1,31,24,9,1.0,3.0,2.0,4,1,3,0,0,20,0
2022,12,1,24,20,9,1.0,6.0,1.0,1,4,3,0,0,173,0
2021,5,1,0,8,9,1.0,5.0,1.0,2,6,3,0,0,147,0
2019,3,1,24,24,9,1.0,0.0,2.0,2,6,1,1,0,116,0
2023,2,1,10,8,9,1.0,3.0,2.0,4,1,2,0,0,36,0
2024,5,1,0,8,9,2.0,5.0,2.0,3,1,3,0,0,36,0
2024,4,1,3,8,9,1.0,4.0,1.0,2,6,3,0,0,94,0
2023,4,1,3,17,10,1.0,6.0,2.0,6,6,2,0,0,13,0
2023,8,1,40,24,9,2.0,4.0,2.0,2,6,0,0,0,263,0
2023,1,1,0,8,9,2.0,3.0,2.0,2,1,3,0,0,4,0
2024,1,1,0,20,9,1.0,4.0,2.0,4,6,4,0,0,5,0
2023,12,1,24,24,9,1.0,4.0,1.0,2,6,4,0,0,74,0
2024,5,1,0,12,9,2.0,3.0,1.0,5,1,2,0,0,15,0
2024,3,1,20,24,9,1.0,3.0,2.0,6,6,3,0,0,116,0
2023,12,1,24,8,9,1.0,5.0,2.0,2,6,4,0,0,5,0
2024,5,1,0,8,9,2.0,3.0,2.0,5,1,0,0,0,62,0
